firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender
name654,lastname654,June,26,2000,BS Management Engineering,0927 899 4314,Male
name655,lastname655,June,25,1999,BS Legal Management,0917 439 1927,Female
name656,lastname656,April,2,1998,BS Information Technology Entrepreneurship,0917 823 3564,Female
name657,lastname657,November,27,1997,BS Communications Technology,0917 911 4843,Male
name658,lastname658,April,1,2001,BS Management,0917 369 1137,Female
name659,lastname659,April,26,1998,BS Information Technology Entrepreneurship,0927 432 5001,Male
name660,lastname660,January,21,1997,BS Management Engineering,0917 639 8097,Female
name661,lastname661,July,17,1998,BS Information Technology Entrepreneurship,0917 216 9154,Male
name662,lastname662,May,23,1997,BS Management Engineering,0917 557 4445,Male
name663,lastname663,November,17,1998,BS Communications Technology,0927 563 4960,Male
name664,lastname664,September,27,1999,BS Management,0917 953 4447,Male
name665,lastname665,November,26,1997,BS Information Technology Entrepreneurship,0927 649 6652,Male
name666,lastname666,January,27,2001,BS Management Engineering,0917 707 6263,Male
name667,lastname667,June,12,1997,BS Legal Management,0918 202 8547,Female
name668,lastname668,September,18,2001,BS Information Technology Entrepreneurship,0927 348 2643,Male
name669,lastname669,June,10,1998,BS Legal Management,0918 529 8529,Male
name670,lastname670,November,25,1998,BS Communications Technology,0927 761 5499,Female
name671,lastname671,August,17,1997,BS Information Technology Entrepreneurship,0917 108 9053,Male
name672,lastname672,January,25,1997,BS Communications Technology,0927 826 5387,Male
name673,lastname673,January,9,1997,BS Legal Management,0917 682 8954,Female
name674,lastname674,September,1,1997,BS Legal Management,0917 918 3752,Female
name675,lastname675,October,4,1998,BS Legal Management,0917 822 5318,Female
name676,lastname676,June,1,2000,BS Management,0918 347 1908,Female
name677,lastname677,May,10,1999,BS Information Technology Entrepreneurship,0917 945 6761,Female
name678,lastname678,November,12,1997,BS Management,0927 257 5703,Female
name679,lastname679,December,10,1999,BS Legal Management,0918 986 6170,Male
name680,lastname680,March,19,1997,BS Information Technology Entrepreneurship,0927 518 9390,Female
name681,lastname681,March,3,1997,BS Communications Technology,0917 447 7903,Female
name682,lastname682,March,4,1997,BS Management,0927 320 3223,Female
name683,lastname683,November,21,1999,BS Management,0918 635 9209,Female
name684,lastname684,May,18,1999,BS Communications Technology,0918 895 2615,Male
name685,lastname685,February,19,1998,BS Legal Management,0927 802 3408,Male
name686,lastname686,May,10,1998,BS Management Engineering,0927 431 3048,Male
name687,lastname687,December,4,1998,BS Legal Management,0927 365 4153,Male
name688,lastname688,March,12,1997,BS Management Engineering,0917 941 4103,Male
name689,lastname689,September,26,1999,BS Management Engineering,0918 980 7439,Male
name690,lastname690,February,9,2000,BS Legal Management,0917 978 1093,Female
name691,lastname691,March,24,2001,BS Communications Technology,0918 895 4043,Male
name692,lastname692,May,9,1997,BS Communications Technology,0918 350 4336,Female
name693,lastname693,July,23,1998,BS Legal Management,0917 815 7555,Male
name694,lastname694,October,17,2000,BS Management,0918 514 8276,Male
name695,lastname695,July,23,1998,BS Management Engineering,0918 139 6470,Male
name696,lastname696,August,20,1997,BS Management,0927 608 4332,Female
name697,lastname697,August,8,1997,BS Legal Management,0918 557 7838,Male
name698,lastname698,February,4,1998,BS Management,0917 990 4565,Female
name699,lastname699,October,1,1998,BS Management,0917 852 2643,Female
name700,lastname700,July,10,2001,BS Management,0917 349 2949,Male
name701,lastname701,June,5,1999,BS Management,0917 788 6744,Male
name702,lastname702,May,15,1998,BS Communications Technology,0918 360 7098,Female
name703,lastname703,June,14,1997,BS Legal Management,0927 441 9452,Male
name704,lastname704,October,14,1997,BS Management,0917 221 2593,Female
name705,lastname705,December,13,1998,BS Communications Technology,0927 939 3466,Female
name706,lastname706,November,20,2001,BS Legal Management,0917 516 4721,Male
name707,lastname707,December,4,2000,BS Management Engineering,0918 546 4373,Male
name708,lastname708,May,27,1997,BS Legal Management,0927 899 3173,Male
name709,lastname709,November,11,1998,BS Management,0917 757 5871,Male
name710,lastname710,November,9,1998,BS Communications Technology,0918 968 3488,Female
name711,lastname711,March,4,1997,BS Management Engineering,0918 366 1192,Female
name712,lastname712,July,21,1999,BS Information Technology Entrepreneurship,0927 949 9293,Male
name713,lastname713,February,3,2001,BS Management Engineering,0917 323 8702,Male
name714,lastname714,December,20,1998,BS Management,0918 218 9517,Male
name715,lastname715,May,4,1998,BS Management,0927 338 2750,Female
name716,lastname716,March,12,1998,BS Legal Management,0917 663 8547,Male
name717,lastname717,May,26,1999,BS Communications Technology,0918 656 4865,Female
name718,lastname718,February,12,1997,BS Management,0918 657 4923,Female
name719,lastname719,September,16,1998,BS Legal Management,0917 588 2431,Male
name720,lastname720,February,2,2001,BS Legal Management,0917 496 4484,Female
name721,lastname721,September,3,1999,BS Information Technology Entrepreneurship,0927 476 2773,Male
name722,lastname722,June,19,1999,BS Communications Technology,0917 858 3626,Female
name723,lastname723,September,10,1999,BS Communications Technology,0927 787 7491,Female
name724,lastname724,September,7,2001,BS Management,0917 535 1270,Male
name725,lastname725,January,14,1998,BS Management,0918 560 4115,Female
name726,lastname726,June,23,1997,BS Management Engineering,0918 167 8692,Female
name727,lastname727,February,7,1997,BS Management,0927 929 3994,Female
name728,lastname728,June,13,1997,BS Communications Technology,0927 309 3402,Male
name729,lastname729,January,24,1998,BS Management,0918 354 8194,Male
name730,lastname730,November,7,1999,BS Management,0917 181 5471,Male
name731,lastname731,October,12,1998,BS Management Engineering,0917 802 1065,Female
name732,lastname732,October,9,1999,BS Communications Technology,0927 752 4483,Female
name733,lastname733,November,13,1999,BS Communications Technology,0927 751 4676,Male
name734,lastname734,November,26,1998,BS Management,0918 335 9195,Male
name735,lastname735,February,10,1998,BS Management,0917 299 3945,Female
name736,lastname736,February,13,1998,BS Legal Management,0927 211 1491,Male
name737,lastname737,November,23,2001,BS Information Technology Entrepreneurship,0927 216 7464,Male
name738,lastname738,July,7,2000,BS Management Engineering,0918 883 4422,Female
name739,lastname739,April,12,1999,BS Legal Management,0917 585 5181,Female
name740,lastname740,March,20,1998,BS Legal Management,0917 350 4703,Female
name741,lastname741,September,5,1998,BS Communications Technology,0917 722 5363,Female
name742,lastname742,September,2,1997,BS Management Engineering,0918 198 7932,Female
name743,lastname743,July,14,1998,BS Information Technology Entrepreneurship,0917 954 6667,Female
name744,lastname744,October,28,1997,BS Information Technology Entrepreneurship,0927 509 7514,Female
name745,lastname745,October,5,1998,BS Management,0927 796 6417,Male
name746,lastname746,December,7,2001,BS Information Technology Entrepreneurship,0927 698 3622,Male
name747,lastname747,December,18,1999,BS Information Technology Entrepreneurship,0918 746 8659,Male
name748,lastname748,April,5,2001,BS Management,0917 561 4001,Female
name749,lastname749,February,17,1997,BS Management Engineering,0927 163 7846,Female
name750,lastname750,December,1,1997,BS Management,0927 659 3077,Male
name751,lastname751,November,19,1998,BS Information Technology Entrepreneurship,0917 682 3751,Male
name752,lastname752,April,11,2000,BS Legal Management,0927 111 2887,Female
name753,lastname753,June,1,2000,BS Communications Technology,0918 809 4167,Female
name754,lastname754,June,15,2000,BS Management,0917 380 7974,Female
name755,lastname755,June,16,2000,BS Management Engineering,0918 234 8018,Male
name756,lastname756,August,16,1999,BS Management,0917 738 2557,Female
name757,lastname757,December,13,1999,BS Management Engineering,0927 665 6829,Male
name758,lastname758,December,15,1998,BS Communications Technology,0927 103 9845,Male
name759,lastname759,November,15,1999,BS Information Technology Entrepreneurship,0918 716 1196,Male
name760,lastname760,April,21,1997,BS Communications Technology,0917 889 2089,Male
name761,lastname761,March,22,1998,BS Management,0917 536 5199,Female
name762,lastname762,January,7,2001,BS Management Engineering,0927 201 3572,Male
name763,lastname763,October,25,1998,BS Legal Management,0927 773 8564,Male
name764,lastname764,April,27,1999,BS Legal Management,0927 562 9584,Female
name765,lastname765,November,21,2000,BS Communications Technology,0927 573 8454,Female
name766,lastname766,June,13,1998,BS Information Technology Entrepreneurship,0917 637 5575,Male
name767,lastname767,February,14,1999,BS Management Engineering,0927 293 1334,Male
name768,lastname768,April,6,2000,BS Legal Management,0917 166 8658,Female
name769,lastname769,June,28,1997,BS Information Technology Entrepreneurship,0918 108 9862,Male
name770,lastname770,April,4,2001,BS Management Engineering,0917 204 2709,Male
name771,lastname771,December,27,2000,BS Management Engineering,0927 882 6056,Male
name772,lastname772,May,12,1997,BS Management Engineering,0927 161 6194,Female
name773,lastname773,December,1,1999,BS Legal Management,0918 906 6087,Female
name774,lastname774,July,7,1999,BS Management Engineering,0927 658 1298,Male
name775,lastname775,October,3,1997,BS Information Technology Entrepreneurship,0917 424 4286,Female
name776,lastname776,November,16,1998,BS Management Engineering,0918 939 2456,Male
name777,lastname777,December,7,1998,BS Legal Management,0927 870 5781,Male
name778,lastname778,November,19,1998,BS Information Technology Entrepreneurship,0927 395 8840,Female
name779,lastname779,February,26,1999,BS Legal Management,0917 270 6901,Male
name780,lastname780,March,23,1999,BS Management,0917 952 6452,Male
name781,lastname781,June,18,2001,BS Information Technology Entrepreneurship,0927 418 3742,Male
name782,lastname782,January,7,1997,BS Management Engineering,0918 233 8431,Male
name783,lastname783,January,13,2001,BS Communications Technology,0918 219 7061,Male
name784,lastname784,October,13,1998,BS Management,0927 298 9517,Male
name785,lastname785,November,10,1999,BS Communications Technology,0918 853 5737,Male
name786,lastname786,January,20,1999,BS Management Engineering,0917 731 6873,Male
name787,lastname787,May,6,1999,BS Legal Management,0927 927 3411,Female
name788,lastname788,December,10,1999,BS Information Technology Entrepreneurship,0918 304 1152,Female
name789,lastname789,June,6,1998,BS Management Engineering,0927 479 4510,Female
name790,lastname790,November,8,1999,BS Management Engineering,0917 541 7757,Male
name791,lastname791,February,2,1998,BS Management,0918 892 1734,Male
name792,lastname792,June,28,1998,BS Legal Management,0917 551 8650,Female
name793,lastname793,January,19,2000,BS Management,0918 468 7521,Male
name794,lastname794,April,17,1999,BS Communications Technology,0917 241 9293,Male
name795,lastname795,July,20,1999,BS Legal Management,0917 805 7437,Female
name796,lastname796,June,28,1998,BS Management,0927 494 5884,Female
name797,lastname797,September,27,1999,BS Management,0917 846 2976,Male
name798,lastname798,October,8,1999,BS Management,0917 982 7959,Male
name799,lastname799,October,6,1997,BS Legal Management,0917 763 4267,Male
name800,lastname800,October,4,2000,BS Management Engineering,0927 925 9558,Male
name801,lastname801,July,9,1998,BS Communications Technology,0918 222 8588,Female
name802,lastname802,September,20,2000,BS Legal Management,0917 432 8589,Female
name803,lastname803,September,8,1999,BS Management Engineering,0927 141 1347,Male
name804,lastname804,January,4,2000,BS Communications Technology,0918 335 4115,Female
name805,lastname805,February,22,1999,BS Management,0927 672 2746,Male
name806,lastname806,September,16,1998,BS Management Engineering,0917 894 5967,Female
name807,lastname807,August,16,1999,BS Management,0917 293 8858,Male
name808,lastname808,February,5,1997,BS Legal Management,0917 340 6918,Female
name809,lastname809,March,16,1999,BS Legal Management,0917 542 4578,Female
name810,lastname810,July,27,2001,BS Management,0927 488 5698,Male
name811,lastname811,September,12,1997,BS Legal Management,0917 710 6722,Female
name812,lastname812,April,3,2000,BS Information Technology Entrepreneurship,0927 312 1350,Male
name813,lastname813,July,22,1998,BS Information Technology Entrepreneurship,0927 930 8635,Male
name814,lastname814,September,24,2001,BS Legal Management,0918 674 6521,Male
name815,lastname815,May,28,1997,BS Management,0917 378 9770,Male
name816,lastname816,October,22,2000,BS Management Engineering,0917 744 7100,Male
name817,lastname817,May,23,2000,BS Legal Management,0927 617 8372,Female
name818,lastname818,May,5,1997,BS Management Engineering,0918 114 7136,Female
name819,lastname819,March,2,2000,BS Information Technology Entrepreneurship,0927 842 2036,Male
name820,lastname820,May,8,2001,BS Management,0917 318 2989,Male
name821,lastname821,December,20,2001,BS Management,0918 936 7960,Female
name822,lastname822,February,28,1998,BS Legal Management,0918 417 7143,Female
name823,lastname823,February,26,1998,BS Communications Technology,0927 892 4500,Female
name824,lastname824,June,28,1997,BS Legal Management,0918 481 9803,Female
name825,lastname825,December,10,1998,BS Management Engineering,0917 819 3783,Male
name826,lastname826,January,1,1998,BS Communications Technology,0918 126 2024,Female
name827,lastname827,November,21,1997,BS Management,0927 562 3224,Female
name828,lastname828,July,13,2000,BS Management Engineering,0918 308 7447,Female
name829,lastname829,September,7,2001,BS Management,0917 447 9808,Female
name830,lastname830,August,19,1999,BS Management,0927 549 7794,Male
name831,lastname831,January,2,1999,BS Information Technology Entrepreneurship,0917 239 1786,Female
name832,lastname832,August,20,1998,BS Communications Technology,0927 763 5312,Female
name833,lastname833,September,15,2000,BS Information Technology Entrepreneurship,0917 417 7432,Female
name834,lastname834,May,15,2001,BS Communications Technology,0917 116 7049,Female
name835,lastname835,August,25,2001,BS Legal Management,0918 573 6898,Male
name836,lastname836,March,26,2001,BS Management Engineering,0927 931 9624,Female
name837,lastname837,November,14,2000,BS Communications Technology,0927 857 6715,Female
name838,lastname838,December,13,2001,BS Communications Technology,0918 747 9833,Male
name839,lastname839,September,3,1998,BS Management,0917 494 4004,Male
name840,lastname840,October,22,1998,BS Communications Technology,0927 677 8540,Female
name841,lastname841,August,20,1999,BS Management,0917 723 1059,Male
name842,lastname842,July,22,1999,BS Information Technology Entrepreneurship,0927 407 5637,Female
name843,lastname843,April,4,1997,BS Management,0927 873 8336,Female
name844,lastname844,May,28,1999,BS Management Engineering,0917 284 2175,Male
name845,lastname845,September,7,1998,BS Information Technology Entrepreneurship,0918 450 1669,Male
name846,lastname846,September,1,1997,BS Legal Management,0918 337 6525,Female
name847,lastname847,November,15,1998,BS Management Engineering,0927 963 1010,Female
name848,lastname848,August,17,1999,BS Information Technology Entrepreneurship,0918 782 1125,Female
name849,lastname849,September,15,1997,BS Communications Technology,0927 158 9777,Male
name850,lastname850,November,16,2001,BS Management Engineering,0918 454 2076,Female
name851,lastname851,July,4,1997,BS Legal Management,0918 681 4113,Female
name852,lastname852,July,1,1997,BS Legal Management,0927 402 8839,Female
name853,lastname853,June,21,2000,BS Communications Technology,0927 180 3943,Male
name854,lastname854,September,6,1997,BS Information Technology Entrepreneurship,0918 175 3354,Male
name855,lastname855,February,23,1998,BS Management Engineering,0917 816 3618,Female
name856,lastname856,May,7,1998,BS Management,0927 119 9872,Female
name857,lastname857,September,13,1998,BS Legal Management,0917 795 3886,Female
name858,lastname858,April,18,2000,BS Information Technology Entrepreneurship,0927 106 6957,Male
name859,lastname859,November,20,2001,BS Legal Management,0918 513 9069,Female
name860,lastname860,April,19,1997,BS Management Engineering,0918 713 5212,Female
name861,lastname861,December,27,1998,BS Information Technology Entrepreneurship,0918 685 4917,Female
name862,lastname862,July,3,1998,BS Management,0927 581 1326,Male
name863,lastname863,February,12,2001,BS Management,0927 618 6967,Female
name864,lastname864,July,12,1999,BS Legal Management,0918 357 1556,Male
name865,lastname865,May,17,2001,BS Legal Management,0917 693 6203,Male
name866,lastname866,May,16,1998,BS Legal Management,0927 248 6994,Male
name867,lastname867,March,28,1997,BS Information Technology Entrepreneurship,0917 143 6591,Male
name868,lastname868,January,11,1999,BS Management Engineering,0917 299 3591,Male
name869,lastname869,July,27,1997,BS Communications Technology,0927 592 1019,Male
name870,lastname870,January,11,1999,BS Communications Technology,0918 155 7151,Male
name871,lastname871,July,7,1999,BS Communications Technology,0917 403 6185,Female
name872,lastname872,March,23,1997,BS Communications Technology,0917 420 2785,Female
name873,lastname873,May,17,1999,BS Management Engineering,0918 966 3409,Female
name874,lastname874,January,10,1998,BS Communications Technology,0918 646 6350,Female
name875,lastname875,June,17,2001,BS Information Technology Entrepreneurship,0927 400 5224,Female
name876,lastname876,February,21,2001,BS Communications Technology,0918 908 6977,Female
name877,lastname877,August,27,2001,BS Information Technology Entrepreneurship,0918 638 9959,Female
name878,lastname878,July,22,1999,BS Legal Management,0918 616 5326,Male
name879,lastname879,December,25,1998,BS Management Engineering,0918 139 7536,Male
name880,lastname880,March,17,1998,BS Management Engineering,0917 533 5972,Female
name881,lastname881,December,2,2000,BS Information Technology Entrepreneurship,0917 221 7566,Female
name882,lastname882,April,5,1999,BS Communications Technology,0927 530 7214,Female
name883,lastname883,July,4,1997,BS Legal Management,0917 868 9083,Female
name884,lastname884,April,23,2000,BS Legal Management,0918 660 3128,Female
name885,lastname885,December,11,2000,BS Management,0927 175 2972,Male
name886,lastname886,October,26,1997,BS Legal Management,0917 276 8699,Female
name887,lastname887,April,4,2000,BS Management Engineering,0917 210 7063,Female
name888,lastname888,July,2,1998,BS Management,0927 127 3113,Female
name889,lastname889,July,20,2001,BS Management,0917 977 3508,Male
name890,lastname890,November,2,1998,BS Management,0917 328 9205,Male
name891,lastname891,August,13,2000,BS Management Engineering,0918 821 7480,Female
name892,lastname892,March,26,1998,BS Management Engineering,0917 689 2678,Male
name893,lastname893,July,2,1998,BS Legal Management,0927 597 4601,Female
name894,lastname894,March,21,1999,BS Legal Management,0917 165 3793,Male
name895,lastname895,February,14,1999,BS Information Technology Entrepreneurship,0917 166 3062,Male
name896,lastname896,October,10,1998,BS Legal Management,0927 346 9730,Male
name897,lastname897,October,1,2000,BS Management,0918 912 7678,Male
name898,lastname898,April,17,1999,BS Information Technology Entrepreneurship,0917 170 1087,Male
name899,lastname899,August,3,1997,BS Management,0918 972 7480,Male
name900,lastname900,December,4,1997,BS Legal Management,0927 700 9691,Female
name901,lastname901,April,2,2001,BS Communications Technology,0927 992 8635,Male
name902,lastname902,January,18,2001,BS Information Technology Entrepreneurship,0918 101 2444,Female
name903,lastname903,May,27,1997,BS Management,0918 111 3466,Female
name904,lastname904,December,8,1997,BS Management Engineering,0917 991 3757,Female
name905,lastname905,March,12,1999,BS Information Technology Entrepreneurship,0917 607 4978,Female
name906,lastname906,October,12,1998,BS Legal Management,0918 901 1766,Female
name907,lastname907,July,25,1997,BS Communications Technology,0917 774 3282,Female
name908,lastname908,January,11,1999,BS Communications Technology,0918 186 9039,Male
name909,lastname909,December,27,1998,BS Communications Technology,0918 931 9646,Male
name910,lastname910,September,15,2001,BS Communications Technology,0918 959 8390,Female
name911,lastname911,November,9,1997,BS Management,0918 566 3286,Male
name912,lastname912,December,1,1998,BS Management,0918 599 4332,Female
name913,lastname913,June,23,1999,BS Management,0927 573 4571,Male
name914,lastname914,March,23,1999,BS Information Technology Entrepreneurship,0917 798 2620,Female
name915,lastname915,April,19,1997,BS Legal Management,0917 265 9185,Female
name916,lastname916,January,24,1997,BS Communications Technology,0927 753 1533,Male
name917,lastname917,August,17,2001,BS Information Technology Entrepreneurship,0917 588 3224,Male
name918,lastname918,November,9,1997,BS Legal Management,0918 870 2621,Female
name919,lastname919,March,18,1997,BS Communications Technology,0918 982 6506,Male
name920,lastname920,November,12,2000,BS Management Engineering,0917 710 6432,Male
name921,lastname921,July,21,2001,BS Management,0927 689 3928,Male
name922,lastname922,May,25,2000,BS Legal Management,0918 723 7128,Male
name923,lastname923,January,17,2001,BS Management,0927 188 1317,Male
name924,lastname924,July,14,1997,BS Communications Technology,0917 751 9632,Male
name925,lastname925,November,4,1999,BS Communications Technology,0917 409 7669,Female
name926,lastname926,April,24,1998,BS Information Technology Entrepreneurship,0918 777 1156,Male
name927,lastname927,July,28,1997,BS Management Engineering,0918 390 2146,Male
name928,lastname928,February,13,1997,BS Management Engineering,0918 675 5512,Female
name929,lastname929,November,21,1999,BS Information Technology Entrepreneurship,0918 450 7839,Female
name930,lastname930,November,25,1999,BS Management Engineering,0927 950 5397,Male
name931,lastname931,March,16,1998,BS Management,0917 409 7205,Male
name932,lastname932,August,5,1999,BS Management,0927 768 9251,Male
name933,lastname933,June,12,1999,BS Legal Management,0927 860 1383,Female
name934,lastname934,July,28,2000,BS Management Engineering,0927 966 2788,Female
name935,lastname935,August,24,1999,BS Communications Technology,0918 597 5321,Male
name936,lastname936,November,2,2000,BS Legal Management,0918 720 1768,Male
name937,lastname937,January,8,1998,BS Management,0918 582 3906,Male
name938,lastname938,January,22,2000,BS Management Engineering,0918 184 3212,Female
name939,lastname939,April,17,1997,BS Management Engineering,0917 271 5839,Female
name940,lastname940,June,6,1998,BS Management,0917 977 7795,Female
name941,lastname941,July,21,1999,BS Management Engineering,0917 165 6593,Male
name942,lastname942,August,14,2000,BS Communications Technology,0917 223 2556,Male
name943,lastname943,April,24,1999,BS Communications Technology,0927 770 7950,Male
name944,lastname944,November,13,1998,BS Communications Technology,0927 664 6148,Female
name945,lastname945,November,2,1999,BS Information Technology Entrepreneurship,0927 890 5180,Female
name946,lastname946,September,20,1998,BS Management Engineering,0927 644 4841,Female
name947,lastname947,September,27,1999,BS Management Engineering,0917 505 1295,Male
name948,lastname948,July,9,1998,BS Information Technology Entrepreneurship,0917 906 6791,Female
name949,lastname949,August,7,2000,BS Management Engineering,0917 374 6420,Female
name950,lastname950,July,15,1997,BS Management,0927 295 1812,Female
name951,lastname951,August,20,2000,BS Management Engineering,0917 689 8285,Female
name952,lastname952,April,7,1998,BS Legal Management,0918 678 4969,Male
name953,lastname953,July,16,2001,BS Legal Management,0918 294 9247,Female
name954,lastname954,April,23,2000,BS Communications Technology,0918 780 7638,Female
name955,lastname955,November,4,1998,BS Information Technology Entrepreneurship,0918 760 1168,Male
name956,lastname956,November,16,1997,BS Legal Management,0927 373 9248,Male
name957,lastname957,March,15,1997,BS Management,0918 501 9104,Male
name958,lastname958,June,23,1999,BS Communications Technology,0917 316 9587,Male
name959,lastname959,November,1,1997,BS Management Engineering,0927 234 2768,Female
name960,lastname960,August,5,1998,BS Management,0918 949 2654,Male
name961,lastname961,October,28,1997,BS Management Engineering,0917 815 2634,Male
name962,lastname962,June,24,1998,BS Information Technology Entrepreneurship,0927 772 9962,Female
name963,lastname963,December,25,1997,BS Information Technology Entrepreneurship,0917 309 4471,Male
name964,lastname964,March,24,2000,BS Communications Technology,0917 749 3301,Male
name965,lastname965,July,21,1997,BS Communications Technology,0927 384 2721,Female
name966,lastname966,November,15,1999,BS Information Technology Entrepreneurship,0917 237 8133,Female
name967,lastname967,March,26,1999,BS Information Technology Entrepreneurship,0927 964 4299,Male
name968,lastname968,March,19,2000,BS Communications Technology,0917 240 9076,Female
name969,lastname969,June,2,1998,BS Information Technology Entrepreneurship,0917 176 9439,Female
name970,lastname970,July,9,1997,BS Management Engineering,0927 100 9164,Male
name971,lastname971,April,9,1998,BS Management Engineering,0927 730 8393,Female
name972,lastname972,November,28,1999,BS Communications Technology,0917 389 5738,Male
name973,lastname973,May,25,1997,BS Management Engineering,0917 634 5100,Male
name974,lastname974,December,20,2001,BS Information Technology Entrepreneurship,0927 357 1836,Male
name975,lastname975,March,11,2000,BS Management Engineering,0917 868 4656,Female
name976,lastname976,November,7,1999,BS Legal Management,0918 918 7519,Female
name977,lastname977,March,21,1999,BS Management Engineering,0918 632 8482,Female
name978,lastname978,November,25,1997,BS Management Engineering,0917 525 6204,Female
name979,lastname979,September,23,1998,BS Management,0927 765 1941,Male
name980,lastname980,December,14,2001,BS Legal Management,0918 606 4478,Female
name981,lastname981,March,10,1999,BS Communications Technology,0927 760 8017,Male
name982,lastname982,June,21,2000,BS Legal Management,0917 829 3943,Female
name983,lastname983,March,24,1999,BS Legal Management,0917 662 1872,Male
name984,lastname984,July,22,1999,BS Legal Management,0917 283 7138,Female
name985,lastname985,November,17,2001,BS Communications Technology,0927 254 1823,Female
name986,lastname986,February,28,2000,BS Communications Technology,0917 628 1470,Female
name987,lastname987,January,13,1997,BS Management,0927 147 7217,Female
name988,lastname988,December,27,1997,BS Legal Management,0917 314 4815,Male
name989,lastname989,February,26,1999,BS Management Engineering,0918 168 3635,Male
name990,lastname990,October,4,1998,BS Management,0918 313 9787,Male
name991,lastname991,November,22,2000,BS Management,0927 117 4649,Male
name992,lastname992,August,14,1999,BS Legal Management,0927 528 8069,Female
name993,lastname993,July,5,2000,BS Management,0918 851 8170,Male
name994,lastname994,May,20,1998,BS Management Engineering,0927 793 3024,Female
name995,lastname995,June,11,1999,BS Information Technology Entrepreneurship,0927 871 6633,Male
name996,lastname996,May,4,1998,BS Legal Management,0927 159 8838,Female
name997,lastname997,September,24,1997,BS Management,0918 333 2036,Male
name998,lastname998,March,4,1999,BS Communications Technology,0917 116 1724,Male
name999,lastname999,January,11,1999,BS Management,0917 997 1830,Female
name1000,lastname1000,July,24,1998,BS Legal Management,0927 789 2057,Female
name1001,lastname1001,October,13,1999,BS Legal Management,0918 226 5829,Male
name1002,lastname1002,January,16,1997,BS Information Technology Entrepreneurship,0917 189 5851,Female
name1003,lastname1003,July,1,1999,BS Information Technology Entrepreneurship,0917 577 5113,Female
name1004,lastname1004,June,8,1997,BS Management Engineering,0918 633 2873,Female
name1005,lastname1005,January,14,2000,BS Management,0918 107 4666,Female
name1006,lastname1006,March,23,1999,BS Information Technology Entrepreneurship,0917 575 1571,Male
name1007,lastname1007,September,14,1997,BS Management,0918 673 9002,Male
name1008,lastname1008,May,13,1998,BS Communications Technology,0927 455 7889,Female
name1009,lastname1009,February,23,1998,BS Management,0918 790 1682,Female
name1010,lastname1010,May,25,1999,BS Management,0917 254 7870,Female
name1011,lastname1011,April,9,1999,BS Legal Management,0918 652 6097,Male
name1012,lastname1012,May,14,1997,BS Management,0917 120 1564,Female
name1013,lastname1013,September,8,1997,BS Management,0927 878 8766,Male
name1014,lastname1014,May,1,2001,BS Management Engineering,0918 524 3684,Female
name1015,lastname1015,March,10,1997,BS Legal Management,0917 209 4854,Female
name1016,lastname1016,April,16,1997,BS Communications Technology,0917 610 8591,Male
name1017,lastname1017,January,17,1998,BS Communications Technology,0918 198 8897,Female
name1018,lastname1018,February,21,1997,BS Management,0917 470 7921,Male
name1019,lastname1019,July,16,2001,BS Management,0917 415 3731,Male
name1020,lastname1020,March,13,1999,BS Management,0917 421 2734,Female
name1021,lastname1021,May,20,1998,BS Information Technology Entrepreneurship,0917 286 5078,Male
name1022,lastname1022,December,4,1997,BS Information Technology Entrepreneurship,0918 819 6422,Female
name1023,lastname1023,June,28,2000,BS Legal Management,0918 423 3021,Male
name1024,lastname1024,September,9,1998,BS Management Engineering,0917 720 3510,Male
name1025,lastname1025,March,8,1999,BS Communications Technology,0918 748 6951,Male
name1026,lastname1026,January,15,1998,BS Management,0927 426 7423,Female
name1027,lastname1027,January,14,1999,BS Management Engineering,0927 556 8003,Female
name1028,lastname1028,June,28,1999,BS Management,0927 571 1913,Female
name1029,lastname1029,September,11,1999,BS Communications Technology,0927 120 7807,Female
name1030,lastname1030,April,7,2001,BS Legal Management,0917 327 6289,Female
name1031,lastname1031,August,21,1999,BS Information Technology Entrepreneurship,0918 446 4044,Female
name1032,lastname1032,December,26,1999,BS Communications Technology,0917 959 9685,Male
name1033,lastname1033,May,16,1998,BS Communications Technology,0918 371 7071,Female
name1034,lastname1034,December,15,2000,BS Management,0927 777 1235,Male
name1035,lastname1035,June,1,1999,BS Communications Technology,0918 657 6901,Female
name1036,lastname1036,June,3,2000,BS Management,0927 465 6997,Male
name1037,lastname1037,January,19,2001,BS Information Technology Entrepreneurship,0918 777 8386,Female
name1038,lastname1038,January,22,1999,BS Management Engineering,0918 591 8053,Female
name1039,lastname1039,January,16,2000,BS Management Engineering,0917 604 5494,Male
name1040,lastname1040,December,6,1997,BS Management Engineering,0918 631 5507,Female
name1041,lastname1041,February,12,1998,BS Communications Technology,0917 803 3974,Female
name1042,lastname1042,December,24,1997,BS Legal Management,0918 821 6331,Male
name1043,lastname1043,March,13,1999,BS Communications Technology,0927 760 2707,Female
name1044,lastname1044,July,2,1997,BS Information Technology Entrepreneurship,0918 349 9660,Male
name1045,lastname1045,May,21,1997,BS Communications Technology,0927 713 5773,Male
name1046,lastname1046,May,22,2001,BS Management,0917 214 4255,Female
name1047,lastname1047,May,25,1998,BS Legal Management,0918 340 3323,Male
name1048,lastname1048,March,25,1998,BS Management Engineering,0927 397 4986,Male
name1049,lastname1049,February,1,1997,BS Management Engineering,0917 668 9753,Female
